,name,unit_cogs
3053,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA,0.177631578947368
3054,NAP HORTEX 1 L BANANOWY,3.09
3055,OLEJ NIEZBEDNY 1L,4.22
3056,ORZESZKI ZIEMNE OK SOLONE 150G PUSZ,2.65
3057,PAPRYKA KONS.SLONECZNY OGROD 650G,2.87
3058,PIWO KARMI 0_4 BUT CLASSIC,1.87
3059,PIWO PERLA CHMIELOWA 0_5L BUT.B/ZWROT.,1.65
3060,PIWO PERLA EKSPORT 0_5L BUT.BEZZWROTNA,1.65
3061,POMPKA PLAY DOLADOWANIE,3.87
3062,PROSZEK D/PIECZ.CYKORIA 18G,0.26
3063,PRZYPR.PRYMAT WLOSZCZYZNA SUSZONA 100G,2.18
3064,PRZYPR.WARZYWKO 200G,1.73
3065,PUDL KETCHUP LAGODNY 480 G,3.43
3066,PUDL KETCHUP PIKANTNY 480G,3.21666666666667
3067,PUDL KONCENTRAT 30%SLOIK 200G,2.3124242424242403
3068,SEREK SMACZEK  125 G JANA SZCZYPIOREK,1.42
3069,SZCZAW KONS.URBANEK 385ML,1.5
3070,TWAROG SOLANKOWY WEDZONY 250G CYLINDER,3.28
3071,WIN MAJONEZ 400G,4.041875
3072,WIN MAJONEZ 700G,6.5
3073,WIN SOS CZOSNKOWY 250ML,3.62
3074,WIN SOS TATARSKI 250ML,3.62
3075,WINO CARLO ROSSI CZERW.P/WYTR.11% 0_75L,13.48
3076,WINO CARLO ROSSI ROZOWE P/WYT.9_5% 0_75L,13.48
3077,WINO KADARKA P/SLD.BARTEX 11% 0_75L,6.04
3078,WODA CISOWIANKA 1_5 L N/GAZ.,0.825
3079,WODA STAROPOLANKA 2000 N/GAZ.1_5L,1.2628571428571398
3080,WODKA STOCK PRESTIGE 500ML,17.42
4854,AROMAT D/CIAST POMARAN.DELECTA 10ML,1.06
4855,BATON 3BIT 46/51 G,0.92
4856,BATON NUTELLA 2 SZT,2.13
4857,BULION KNORR GRZYBOWY (3L)60G KOSTKI,1.87
4858,BULKA TARTA MAMUT 450 G,1.87
4859,CHRZAN DYMECKI 200G,1.71
4860,CHRZAN TARTY 160G VICTUS,1.5075
4861,CHRZAN TARTY Z ZURAWINA SMAK 175 ML,1.34
4862,CZEKOLADA NA GORACO LA FEST 25 G,0.56
4863,DZEM SLONECZNY OGROD BRZOSKWINIOWY 280G.,1.83
4864,DZEM SLONECZNY OGROD CZARNA PORZECZ.280G,1.83
4865,DZEM SLONECZNY OGROD TRUSKAWKOWY 280G,1.83
4866,FASOLA CZERWONA SLONECZNY OGROD 400G.,1.52
4867,GNIAZDKO WIELKANOCNE RAKPOL 80G,8.5
4868,HELLENA GRUSZKA N/GAZ.1_75L,1.66
4869,HELLENA ORENZADA CZERWONA 1_25 L GA,1.61410714285714
4870,JAJKO Z NIESPODZIANKA FERRERO 20G,2.05777777777778
4871,KAMIS MUSZTARDA FRANCUSKA 185 G,2.51
4872,KETCHUP LAGODNY 470 G TORTEX,3.24
4873,KNORR DELIKAT UNIWERSALNA 200G,3.29
4874,KNORR G_K BARSZCZ CZERWONY,0.93
4875,KONCENTRAT DAWTONA 200G SLOIK,1.31
4876,KONCENTRAT POM .LOWICZ 190G,1.86
4877,KONCENTRAT POM DAWTONA 80G SLOIK,0.93
4878,KONCENTRAT POMIDOROWY 80G SLONECZNY OGRO,0.73
4879,KONCENTRAT POMIDOROWY DAWTONA 30% 1KG,5.7
4880,KOTLIN KETCHUP  PIKANTNY 215ML,2.25
4881,KOTLIN KETCHUP LAGODNY 215ML,2.25
4882,MAK.LUBELLA KOKARDA 400G,2.53
4883,MAKA TORTOWA ZLOTY LAN TYP 450 1KG,1.11
4884,MARGARYNA DELMA EXTRA 250G KUBEK,1.65
4885,MARMOLADA SLONECZNY OGROD 550 G,2.74
