,name,unit_cogs
3219,KNORR SOS .FRANCUSKI 9G,0.9
3220,KREM DO TORTOW SMIETANA 100G CYKORIA,1.85
3221,KRESTO WIORKI KOKOS 200 G,2.06
3222,MARCO-POLO POMIDOR Z RUKOLA 30 G,2.4
3223,PRYMAT CYNAMON MIELONY 15G,1.0
3224,PRYMAT GOZDZIKI 10G,0.91
3225,PRYMAT GRILL PIKANTNT 20G,0.9
3226,PRYMAT KEBAB-GYROS 30G,0.89
3227,PRYMAT KOPEREK SUSZONY,0.72
3228,PRYMAT KUCHAREK 75G,0.7
3229,PRYMAT OREGANO CALE 10 G,0.91
3230,PRYMAT PIETRUSZKA NATKA,0.72
3231,PRYMAT PRZYP.DO KURCZAKA,0.62
3232,PRYMAT PRZYPRAWA DO KARKOWKI,1.0
3233,PRYMAT PRZYPRAWA DO MI?SA MIELONEGO 20G,0.9
3234,PRZYPR.DO ZUP 210G WINIARY,1.62
3235,PRZYPRAWA DO PIZZY GALEO 12GR,0.8
3236,PRZYPRAWA DO RYB CYKORIA 40 G,0.82
3237,RODZYNKI 100GR SULTANSKIE HELIO,1.49
3238,SODA OCZYSZCZONA 100G DELECTA,0.63
3239,WIN KOSTKA MIESNA 60G,1.335
3240,WIN MAGI W PLYNIE 200ML,2.01
3241,WIN ZIARENKA SMAKU 75G,1.15
3242,WIN ZUPA GRZYBOWA 48 G,1.36
3243,WIORKI KOKOSOWE  100 G KRESTO,1.285
5038,AMONIAK 40 G MARSYL,0.57
5039,APPETITA  CHILI 15 G,1.0
5040,APPETITA GALKA MUSZKATOLOWA,0.99
5041,APPETITA IMBIR MIELONY,0.99
5042,APPETITA PRZYPRAWA DO GULASZU 20 G,0.97
5043,CYKORIA CZOSNEK MIELONY 20 G,1.05
5044,CYKORIA KURKUMA 15 G,0.52
5045,CYKORIA PRZYPRAWA DO PIERNIKA,0.87
5046,DR O AROMAT WANILIA 9ML,1.14
5047,DR O PROSZEK DO PIECZENIA  30G,0.37
5048,DR O SMIETAN FIX 9G,0.84
5049,FASOLA  PIEKNY JAS 400G KROS,3.71
5050,GALEO LISC LAUROWY 5 G,0.805
5051,GALEO MAJERANEK 6 G,0.91
5052,GALEO PAPRYKA OSTRA 20G,0.64
5053,GALEO PAPRYKA SLODKA 16 G,0.7185714285714291
5054,GALEO PIEPRZ CZARNY MIELONY,0.873181818181818
5055,GALEO PRZYP DO BIGOSU I KAPUSTY 20G,0.62
5056,GALEO PRZYP.DO KURCZAKA 25G,0.8
5057,GALEO PRZYPRAWA DO GYROSA 20G,0.89
5058,GALEO PRZYPRAWA DO RYB CYTRYNA,0.88
5059,GALEO PRZYPRAWA DO ZIEMNIAKOW,0.88
5060,GALEO SODA OCZYSZCZONA 24 GG,0.52
5061,GALEO ZIELE ANGIELSKIE 12G,0.763333333333333
5062,GALEO ZIOLA PROWANSALSKIE 10GR,0.7
5063,KAMIS BAZYLIA 10 G,1.05
5064,KAMIS JA?OWIEC 15G,1.44
5065,KAMIS PIEPRZ CYTRYNOWY 20G,1.78
5066,KAMIS PIEPRZ CZAR /MIELONY,1.33
5067,KAMIS PIEPRZ KOLOROWY 16G,1.42
5068,KAMIS PRZYPRAWA DO BIGOS 20G,1.2
5069,KAMIS PRZYPRAWA DO WIEPRZOWN,1.39
5070,KAMIS PSTRAG Z KOPERKIEM,1.56
5071,KAMIS ZIELE ANGIELSKIE 15G,1.04
5072,KMINEK 20 G PRZYSMAK,0.54
5073,KNOR DELIKAT DO MIES 75G,1.938
5074,KNOR ROSOL Z KURY 3LX6 KOSTKI,1.17
5075,KNOR ROSOL Z KURY 6LX12 KOSTEK,2.59
5076,KNORR CYNAMON Z WIETNAMU 15 G,1.29
5077,KNORR KURKUMA Z INDI 20 G,1.29
5078,KNORR LISC LAUROWY Z TURCJI 5 G,1.29
5079,KNORR MIESZANKA WLOSKA,1.38
5080,KNORR PIEPRZ CZARNY Z WIETNAMU,1.28
5081,KNORR PRZYPRAWA DO KURCZAKA,1.38
5082,KNORR SOS .FRANCUSKI 9G,1.12
5083,KNORR TYMIANEK Z POLSKI,1.29
5084,MARCO-POLO JARZYNKA BEZ SOLI,2.4
5085,MARCO-POLO LUBCZYK LISC 40 G,1.76
5086,MARCO-POLO POMIDOR Z RUKOLA 30 G,2.4
5087,MARCO-POLO SMAKI AFRYKI 35 G,1.5
5088,MARCO-POLO ZILA  KURCZAKA Z SOLA MOR. 35,1.6
5089,MIGDA?Y P?ATKI  60 G,4.13
5090,PRYMAT CYNAMON MIELONY 15G,1.0
5091,PRYMAT CZABER 10 G,0.99
5092,PRYMAT GRILL PIKANTNT 20G,0.9
5093,PRYMAT KEBAB-GYROS 30G,0.89
5094,PRYMAT KOPEREK SUSZONY,0.72
5095,PRYMAT KUCHAREK 75G,0.81875
5096,PRYMAT OREGANO CALE 10 G,0.91
5097,PRYMAT PIETRUSZKA NATKA,0.72
5098,PRYMAT PRZYPRAWA DO KARKOWKI,1.0
5099,PRYMAT PRZYPRAWA DO MI?SA MIELONEGO 20G,0.9
5100,PRZYPR.DO ZUP 210G WINIARY,1.65
5101,PRZYPRAWA DO PIZZY GALEO 12GR,0.8
5102,PRZYPRAWA DO RYB CYKORIA 40 G,0.82
5103,RODZYNKI 100GR SULTANSKIE HELIO,1.49
5104,SLONECZNIK PRAZONY 80 G,0.96
5105,SODA OCZYSZCZONA 100G DELECTA,0.63
5106,WIN KOSTKA MIESNA 60G,1.21
5107,WIN ZIARENKA SMAKU 120G,1.65
5108,WIN ZIARENKA SMAKU 75G,1.15
5109,WIN ZUPA GRZYBOWA 48 G,1.36
5110,WIORKI KOKOSOWE  100 G KRESTO,1.84
6981,APETTITA CYNAMON 20 G,0.79
6982,DR O AROMAT WANILIA 9ML,1.14
6983,DR O PROSZEK DO PIECZENIA  30G,0.37
6984,DR O SMIETAN FIX 9G,0.84
6985,FASOLA  PIEKNY JAS 400G KROS,2.08
6986,GALEO LISC LAUROWY 5 G,0.74
6987,GALEO MAJERANEK 6 G,0.91
6988,GALEO PAPRYKA OSTRA 20G,0.64
6989,GALEO PAPRYKA SLODKA 16 G,0.65
6990,GALEO PIEPRZ CZARNY MIELONY,0.89
6991,GALEO PIEPRZ ZIOLOWY 12 G,0.9
6992,GALEO PRZYPRAWA DO FLAKOW 20G,0.89
6993,GALEO PRZYPRAWA DO GYROSA 20G,0.89
6994,GALEO PRZYPRAWA DO RYB CYTRYNA,0.88
6995,GALEO PRZYPRAWA DO ZIEMNIAKOW,0.88
6996,GALEO SODA OCZYSZCZONA 24 GG,0.52
6997,GALEO ZIELE ANGIELSKIE 12G,0.74
6998,GALEO ZIOLA PROWANSALSKIE 10GR,0.7
6999,GELLWE SODA OCZYSZCZONA 80G,0.42
7000,KAMIS BAZYLIA 10 G,1.05
7001,KAMIS PIEPRZ CYTRYNOWY 20G,1.78
7002,KAMIS PRZYPRAW.DO KURCZAKA Z GRILA,1.83
7003,KAMIS PRZYPRAWA DO BIGOS 20G,1.2
7004,KNOR DELIKAT DO MIES 75G,1.87
7005,KNOR ROSOL Z KURY 6LX12 KOSTEK,2.59
7006,KNORR CYNAMON Z WIETNAMU 15 G,1.29
7007,KNORR DELIKAT CZERWONY 200G,4.36
7008,KNORR FIX DO STROGONOFF,2.09
7009,KNORR IMBIR Z NIGERI 15 G,1.29
7010,KNORR KMIN RZYMSKI 15G,1.29
7011,KNORR KURKUMA Z INDI 20 G,1.29
7012,KNORR LISC LAUROWY Z TURCJI 5 G,1.29
7013,KNORR MIESZANKA WLOSKA,1.38
7014,KNORR PIEPRZ CZARNY Z WIETNAMU,1.28
7015,KNORR PRZYPRAWA DO KURCZAKA,1.38
7016,KNORR PRZYPRAWA DO MIESA MIELONEGO 23 G,1.38
7017,KNORR ROSOL Z KURY Z LUBCZ.60G,2.53
7018,KNORR SOS .FRANCUSKI 9G,1.12
7019,KNORR TYMIANEK Z POLSKI,1.29
7020,MIGDA?Y P?ATKI  60 G,4.13
7021,PRYMAT GRILL KLASYCZNY,0.9
7022,PRYMAT GRILL PIKANTNT 20G,0.82
7023,PRYMAT KOPEREK SUSZONY,0.72
7024,PRYMAT KUCHAREK 75G,0.89
7025,PRYMAT OREGANO CALE 10 G,0.91
7026,PRYMAT PIETRUSZKA NATKA,0.72
7027,PRYMAT PRZYPRAWA DO KARKOWKI,1.0
7028,PRYMAT PRZYPRAWA DO MI?SA MIELONEGO 20G,0.9
7029,PRZYPR.DO ZUP 210G WINIARY,1.65
7030,PRZYPRAWA.DO OGORKOW KWASZNYCH,1.23
7031,RODZYNKI 100GR SULTANSKIE HELIO,1.49
7032,SLONECZNIK PRAZONY 80 G,0.96
7033,SODA OCZYSZCZONA 100G DELECTA,0.63
7034,WIN KOSTKA MIESNA 60G,1.21
7035,WIN MAGI W P?YNIE 960 G,6.96
7036,WIN ZIARENKA SMAKU 120G,1.65
8979,APETTITA CYNAMON 20 G,0.79
8980,APPETITA  CHILI 15 G,1.0
8981,APPETITA IMBIR MIELONY,0.99
8982,APPETITA PRZYPRAWA DO GULASZU 20 G,0.97
8983,CUKIER WANILINOWY DELECTA,0.48
8984,DELEKTA CUKIER ?ELUJ?CY  500GR 2*1,4.99
8985,DR O AROMAT WANILIA 9ML,1.14
8986,DR O PROSZEK DO PIECZENIA  30G,0.37
8987,DR O SMIETAN FIX 9G,0.84
8988,FASOLA  PIEKNY JAS 400G KROS,2.08
8989,GALEO LISC LAUROWY 5 G,0.74
8990,GALEO MAJERANEK 6 G,0.91
8991,GALEO PAPRYKA OSTRA 20G,0.64
8992,GALEO PAPRYKA SLODKA 16 G,0.65
8993,GALEO PIEPRZ CZARNY MIELONY,0.89
8994,GALEO PIEPRZ ZIOLOWY 12 G,0.9
8995,GALEO PRZYPRAWA DO GYROSA 20G,0.89
8996,GALEO SODA OCZYSZCZONA 24 GG,0.52
8997,GALEO ZIELE ANGIELSKIE 12G,0.74
8998,GALEO ZIOLA PROWANSALSKIE 10GR,0.7
8999,GELLWE SODA OCZYSZCZONA 80G,0.42
9000,KAMIS BAZYLIA 10 G,1.05
9001,KAMIS GRILL KLASYCZNY 25G,1.64
9002,KAMIS PIEPRZ CZAR /MIELONY,1.33
9003,KAMIS PIEPRZ ZIARNISTY 20 G,1.6
9004,KNOR ROSOL Z KURY 3LX6 KOSTKI,1.45
9005,KNORR CYNAMON Z WIETNAMU 15 G,1.29
9006,KNORR DELIKAT CZERWONY 200G,4.36
9007,KNORR FIX DO STROGONOFF,2.40333333333333
9008,KNORR KMIN RZYMSKI 15G,1.29
9009,KNORR KURKUMA Z INDI 20 G,1.29
9010,KNORR LISC LAUROWY Z TURCJI 5 G,1.29
9011,KNORR MIESZANKA WLOSKA,1.38
9012,KNORR PAPRYKA OSTRA Z HISZPANI,1.29
9013,KNORR PIEPRZ CZARNY Z WIETNAMU,1.28
9014,KNORR PRZYPRAWA DO KURCZAKA,1.38
9015,KNORR PRZYPRAWA DO MIESA MIELONEGO 23 G,1.38
9016,KNORR ROSOL Z KURY Z LUBCZ.60G,2.53
9017,KNORR SOS .FRANCUSKI 9G,1.12
9018,KREM DO TORTOW SMIETANA 100G CYKORIA,1.96
9019,MARCO-POLO JARZYNKA BEZ SOLI,2.4
9020,MARCO-POLO POMIDOR Z RUKOLA 30 G,2.4
9021,MARCO-POLO ZILA  KURCZAKA Z SOLA MOR. 35,1.6
9022,MIGDA?Y P?ATKI  60 G,4.13
9023,PESTKI DYNI 100GR KRESTO,3.39
9024,PRYMAT CYNAMON MIELONY 15G,1.0
9025,PRYMAT GRILL KLASYCZNY,0.9
9026,PRYMAT GRILL PIKANTNT 20G,0.82
9027,PRYMAT KOPEREK SUSZONY,0.72
9028,PRYMAT KUCHAREK 75G,0.89
9029,PRYMAT OREGANO CALE 10 G,0.91
9030,PRYMAT PIETRUSZKA NATKA,0.72
9031,PRYMAT PRZYP.DO KURCZAKA,0.89
9032,PRYMAT PRZYPRAWA DO KURCZAKA PIK,0.99
9033,PRYMAT PRZYPRAWA DO MI?SA MIELONEGO 20G,0.9
9034,PRYMAT STEK PRZYPRAWA,0.97
9035,PRYMAT TZATZIKI PIK.SOS CZOSNKOWY,0.82
9036,PRZYPR.DO ZUP 210G WINIARY,1.65
9037,PRZYPRAWA DO GRILA GALEO 20G,0.84
9038,PRZYPRAWA DO KURCZ/WIEGIERSKU25G KAMIS,0.9
9039,PRZYPRAWA DO PIZZY GALEO 12GR,0.8
9040,PRZYPRAWA DO RYB CYKORIA 40 G,0.82
9041,PRZYPRAWA.DO OGORKOW KWASZNYCH,0.99
9042,RODZYNKI 100GR SULTANSKIE HELIO,1.49
9043,SLONECZNIK PRAZONY 80 G,0.96
9044,WIN KOSTKA MIESNA 60G,1.21
9045,WIN MAGI W PLYNIE 200ML,2.01
9046,WIN MAGI W P?YNIE 960 G,6.96
9047,WIN ZIARENKA SMAKU 120G,1.65
10991,APPETITA  CHILI 15 G,1.0
10992,APPETITA PRZYPRAWA DO GULASZU 20 G,0.97
10993,CUKIER WANILINOWY DELECTA,0.48
10994,CUKIER WANILIOWY ZIOLOPEX,0.14
10995,CYKORIA PRZYPRAWA DO KWASZENIA OGOR.45 G,1.39
10996,DELEKTA CUKIER ?ELUJ?CY  500GR 2*1,4.99
10997,DR O AROMAT WANILIA 9ML,1.14
10998,DR O PROSZEK DO PIECZENIA  30G,0.37
10999,DR O SMIETAN FIX 9G,0.84
11000,FASOLA  PIEKNY JAS 400G KROS,2.08
11001,GALEO LISC LAUROWY 5 G,0.74
11002,GALEO MAJERANEK 6 G,0.91
11003,GALEO PAPRYKA SLODKA 16 G,0.65
11004,GALEO PIEPRZ CZARNY MIELONY,0.89
11005,GALEO PRZYPRAWA DO FLAKOW 20G,0.89
11006,GALEO PRZYPRAWA DO GYROSA 20G,0.89
11007,GALEO PRZYPRAWA DO RYB CYTRYNA,0.88
11008,GALEO PRZYPRAWA DO ZIEMNIAKOW,0.88
11009,GALEO ZIELE ANGIELSKIE 12G,0.725
11010,GALEO ZIOLA PROWANSALSKIE 10GR,0.7
11011,GELLWE SODA OCZYSZCZONA 80G,0.42
11012,KAMIS BAZYLIA 10 G,1.05
11013,KAMIS JA?OWIEC 15G,1.44
11014,KAMIS PAPRYKA SLODKA 20 G,1.13
11015,KAMIS PIEPRZ ZIARNISTY 20 G,1.6
11016,KAMIS PRZYPRAWA DO BIGOS 20G,1.2
11017,KAMIS PRZYPRAWA DO KURCZ/STAROPOLSKA,1.59
