,name,unit_cogs
2932,WIN SOS CURRY350 ML TUBA,5.16
2933,WIN SOS ZIOLOWY 350 ML TUBA,5.16
2934,WIN ZUPA BOROWIKOWA 45 G,2.13
4713,CYKORIA SOS BIALY 25 G,1.01
4714,GROCH POLÓWKI 0_5 KG STEFIK,1.43
4715,KASZA JAGLANA 400 G,2.43
4716,KASZKA MANNA 400 G KROS,0.92
4717,KT ORZECH ZIEMNY LUZ,7.625
4718,MAK LUBELLA  ZIARNO SWIDERKI 400G,2.69
4719,MAK LUBELLA JAJE WSTAZKA 400G,3.75
4720,MAK LUBELLA KÓLKA MINI 400 G,2.36
4721,MAK SULMA NITKA ROSOLOWA 400G,2.02
4722,MAK SULMA NITKA SPAGHETTI 500G,2.695
4723,MAK ZLOTY LAN 500G  PENE,1.02
4724,MAK ZLOTY LAN KOLANKO DUZE 500 G,0.92
4725,MAK ZLOTY LAN MUSZELKA 500 G,0.89
4726,MAK ZLOTY LAN NITKA DOMOWA 250,1.02
4727,MAK ZLOTY LAN SWIDERKI 500 G,1.09
4728,MAK.LUBELLA FALA 400G,2.34
4729,MAK.LUBELLA SWIDER 500 G,2.31
4730,MAKA KOSZALINSKA  STOISLAW 1KG,1.72
4731,MAKA KRUPCZATKA 1KG STOISLAW,1.96
4732,MAKA TORTOWA 1KG STOISLAW,1.96
4733,MAKA TORTOWA BASIA 1 KG,1.59
4734,MAKA WROCLAWSKA 1KG STOISLAW,1.72
4735,MAKA WROCLAWSKA BASIA 1 KG,1.93
4736,MAKA WROCLAWSKA ZLOTY LAN TYP 500 1KG,1.21
4737,MAKA ZIEMNIACZANA 1KG,3.34
4738,MAKA ZIEMNIACZANA 500G NIECHLOW,1.52
4739,MAKARON ABAK BABUNI 250G 2 JAJ,1.57
4740,MAKARON CZANIECKI 250 G NITECZKA WALCOW,2.39
4741,MAKARON CZANIECKI 250G SWOJSKI,1.9944
4742,MAKARON CZANIECKI GNIAZDKO 2,3.98444444444444
4743,MAKARON CZANIECKI NITKA WALCOWANA 500G,3.98
4744,MAKARON CZANIECKI RYZOWY 250 G,2.28923076923077
4745,MAKARON GOLIARD 400G NITKA,2.4
4746,MAKARON IRWEGA 500G KOLANKO,1.59
4747,MAKARON LUBELLA  KOLANKO OZDOBNE 500G,2.43
4748,MAKARON POL MLYN 500 G NITKA DURUM,3.0
